date,search_term,value
2004-09,R data,5
2004-10,R data,7
2004-11,R data,7
2004-12,R data,6
2005-01,R data,6
2005-02,R data,7
2005-03,R data,8
2005-04,R data,7
2005-05,R data,7
2005-06,R data,6
2005-07,R data,6
2005-08,R data,6
2005-09,R data,6
2005-10,R data,6
2005-11,R data,7
2005-12,R data,7
2006-01,R data,5
2006-02,R data,6
2006-03,R data,7
2006-04,R data,7
2006-05,R data,7
2006-06,R data,6
2006-07,R data,6
2006-08,R data,4
2006-09,R data,5
2006-10,R data,6
2006-11,R data,6
2006-12,R data,6
2007-01,R data,5
2007-02,R data,6
2007-03,R data,5
2007-04,R data,6
2007-05,R data,6
2007-06,R data,6
2007-07,R data,6
2007-08,R data,5
2007-09,R data,5
2007-10,R data,6
2007-11,R data,6
2007-12,R data,6
2008-01,R data,7
2008-02,R data,7
2008-03,R data,5
2008-04,R data,8
2008-05,R data,7
2008-06,R data,6
2008-07,R data,6
2008-08,R data,6
2008-09,R data,7
2008-10,R data,7
2008-11,R data,8
2008-12,R data,6
2009-01,R data,7
2009-02,R data,8
2009-03,R data,8
2009-04,R data,9
2009-05,R data,7
2009-06,R data,8
2009-07,R data,7
2009-08,R data,6
2009-09,R data,8
2009-10,R data,8
2009-11,R data,10
2009-12,R data,7
2010-01,R data,8
2010-02,R data,9
2010-03,R data,8
2010-04,R data,9
2010-05,R data,8
2010-06,R data,9
2010-07,R data,8
2010-08,R data,8
2010-09,R data,9
2010-10,R data,9
2010-11,R data,9
2010-12,R data,8
2011-01,R data,8
2011-02,R data,9
2011-03,R data,10
2011-04,R data,10
2011-05,R data,9
2011-06,R data,9
2011-07,R data,9
2011-08,R data,9
2011-09,R data,10
2011-10,R data,11
2011-11,R data,11
2011-12,R data,9
2012-01,R data,10
2012-02,R data,13
2012-03,R data,12
2012-04,R data,12
2012-05,R data,12
2012-06,R data,11
2012-07,R data,11
2012-08,R data,11
2012-09,R data,13
2012-10,R data,16
2012-11,R data,13
2012-12,R data,12
2013-01,R data,14
2013-02,R data,16
2013-03,R data,15
2013-04,R data,15
2013-05,R data,14
2013-06,R data,14
2013-07,R data,13
2013-08,R data,13
2013-09,R data,15
2013-10,R data,19
2013-11,R data,18
2013-12,R data,15
2014-01,R data,16
2014-02,R data,18
2014-03,R data,19
2014-04,R data,22
2014-05,R data,20
2014-06,R data,19
2014-07,R data,19
2014-08,R data,19
2014-09,R data,23
2014-10,R data,22
2014-11,R data,22
2014-12,R data,19
2015-01,R data,20
2015-02,R data,25
2015-03,R data,26
2015-04,R data,26
2015-05,R data,22
2015-06,R data,23
2015-07,R data,23
2015-08,R data,22
2015-09,R data,25
2015-10,R data,27
2015-11,R data,26
2015-12,R data,23
2016-01,R data,23
2016-02,R data,29
2016-03,R data,29
2016-04,R data,32
2016-05,R data,27
2016-06,R data,28
2016-07,R data,24
2016-08,R data,23
2016-09,R data,27
2016-10,R data,30
2016-11,R data,32
2016-12,R data,28
2017-01,R data,28
2017-02,R data,34
2017-03,R data,38
2017-04,R data,36
2017-05,R data,32
2017-06,R data,30
2017-07,R data,28
2017-08,R data,27
2017-09,R data,31
2017-10,R data,34
2017-11,R data,35
2017-12,R data,27
2018-01,R data,29
2018-02,R data,35
2018-03,R data,35
2018-04,R data,36
2004-01,Excel data,53
2004-02,Excel data,64
2004-03,Excel data,57
2004-04,Excel data,64
2004-05,Excel data,59
2004-06,Excel data,61
2004-07,Excel data,62
2004-08,Excel data,67
2004-09,Excel data,60
2004-10,Excel data,62
2004-11,Excel data,58
2004-12,Excel data,55
2005-01,Excel data,60
2005-02,Excel data,63
2005-03,Excel data,61
2005-04,Excel data,55
2005-05,Excel data,55
2005-06,Excel data,63
2005-07,Excel data,62
2005-08,Excel data,55
